Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
144,0.000367,1.0000,0.000008,1.0000
145,0.002857,0.9899,0.000008,1.0000
146,0.001636,0.9899,0.000008,1.0000
147,0.001729,0.9899,0.000008,1.0000
148,0.004603,0.9899,0.000008,1.0000
149,0.001550,0.9899,0.000007,1.0000
150,0.004594,0.9899,0.000007,1.0000
1,0.125610,0.4949,0.105341,0.6800
2,0.106745,0.6667,0.086185,0.7600
3,0.080722,0.7980,0.075570,0.7600
4,0.079231,0.7677,0.083288,0.8000
5,0.085349,0.6970,0.080975,0.7600
6,0.079871,0.7576,0.059505,0.8400
7,0.071706,0.7980,0.047017,0.9200
8,0.062768,0.7980,0.044033,0.8400
9,0.058997,0.8182,0.049640,0.8800
10,0.048332,0.8788,0.045662,0.8400
11,0.045149,0.8485,0.049867,0.8400
12,0.043914,0.8182,0.029180,0.9200
13,0.027381,0.9495,0.015193,1.0000
14,0.024855,0.9495,0.013470,1.0000
15,0.014282,0.9596,0.010576,1.0000
16,0.021368,0.9495,0.016023,1.0000
17,0.009332,0.9899,0.021597,0.9200
18,0.012197,0.9798,0.018898,0.9200
19,0.005068,1.0000,0.010782,1.0000
20,0.007954,0.9697,0.008990,1.0000
21,0.007526,0.9899,0.007718,1.0000
22,0.009222,0.9798,0.007410,1.0000
23,0.008185,0.9798,0.005477,1.0000
24,0.006531,0.9798,0.002666,1.0000
25,0.001380,1.0000,0.002033,1.0000
26,0.003695,0.9899,0.001802,1.0000
27,0.007133,0.9697,0.001873,1.0000
28,0.002397,1.0000,0.012066,0.9600
29,0.008274,0.9798,0.021155,0.9200
30,0.006401,0.9899,0.009682,1.0000
31,0.003301,1.0000,0.003817,1.0000
32,0.006110,0.9899,0.001949,1.0000
33,0.003715,1.0000,0.001014,1.0000
34,0.004922,0.9899,0.000544,1.0000
35,0.004369,0.9798,0.000400,1.0000
36,0.000908,1.0000,0.000383,1.0000
37,0.001954,1.0000,0.000449,1.0000
38,0.006354,0.9899,0.000455,1.0000
39,0.004745,0.9899,0.000421,1.0000
40,0.010420,0.9596,0.000239,1.0000
41,0.005676,0.9899,0.000290,1.0000
42,0.003245,0.9899,0.000414,1.0000
43,0.004946,0.9798,0.000250,1.0000
44,0.002525,1.0000,0.000215,1.0000
45,0.001746,1.0000,0.000224,1.0000
46,0.003931,0.9899,0.000211,1.0000
47,0.003725,0.9899,0.000262,1.0000
48,0.004782,0.9798,0.000410,1.0000
49,0.001262,1.0000,0.000382,1.0000
50,0.004369,0.9899,0.000367,1.0000
51,0.008819,0.9697,0.000221,1.0000
52,0.000605,1.0000,0.000188,1.0000
53,0.001874,0.9899,0.000139,1.0000
54,0.002714,0.9899,0.000132,1.0000
55,0.003106,1.0000,0.000137,1.0000
56,0.007525,0.9798,0.000179,1.0000
57,0.004013,0.9899,0.000209,1.0000
58,0.002291,1.0000,0.000218,1.0000
59,0.003859,0.9798,0.000163,1.0000
60,0.000242,1.0000,0.000165,1.0000
61,0.001733,0.9899,0.000165,1.0000
62,0.000397,1.0000,0.000197,1.0000
63,0.003206,0.9899,0.000225,1.0000
64,0.002337,0.9899,0.000349,1.0000
65,0.004652,0.9798,0.000880,1.0000
66,0.001365,1.0000,0.000650,1.0000
67,0.008789,0.9697,0.000339,1.0000
68,0.000411,1.0000,0.000245,1.0000
69,0.003433,1.0000,0.000208,1.0000
70,0.002437,1.0000,0.000209,1.0000
71,0.003475,0.9798,0.000137,1.0000
72,0.004005,0.9798,0.000098,1.0000
73,0.002665,0.9899,0.000073,1.0000
74,0.002503,0.9899,0.000060,1.0000
75,0.002300,1.0000,0.000060,1.0000
76,0.002580,0.9899,0.000068,1.0000
77,0.000499,1.0000,0.000067,1.0000
78,0.001690,1.0000,0.000058,1.0000
79,0.006108,0.9697,0.000064,1.0000
80,0.000293,1.0000,0.000079,1.0000
81,0.003627,0.9798,0.000085,1.0000
82,0.001911,0.9899,0.000066,1.0000
83,0.003810,0.9899,0.000051,1.0000
84,0.001683,0.9899,0.000048,1.0000
85,0.000256,1.0000,0.000049,1.0000
86,0.000154,1.0000,0.000049,1.0000
87,0.004964,0.9697,0.000031,1.0000
88,0.001354,1.0000,0.000025,1.0000
89,0.002118,0.9899,0.000029,1.0000
90,0.000317,1.0000,0.000040,1.0000
91,0.000795,1.0000,0.000046,1.0000
92,0.001573,0.9899,0.000053,1.0000
93,0.001924,0.9899,0.000034,1.0000
94,0.009040,0.9697,0.000035,1.0000
95,0.002619,0.9899,0.000034,1.0000
96,0.001003,1.0000,0.000055,1.0000
97,0.004994,0.9798,0.000048,1.0000
98,0.001891,0.9899,0.000037,1.0000
99,0.003962,0.9798,0.000036,1.0000
100,0.008386,0.9697,0.000018,1.0000
101,0.001943,0.9899,0.000017,1.0000
102,0.001766,1.0000,0.000020,1.0000
103,0.001287,1.0000,0.000020,1.0000
104,0.002488,0.9899,0.000018,1.0000
105,0.002043,1.0000,0.000014,1.0000
106,0.001819,0.9899,0.000013,1.0000
107,0.001265,1.0000,0.000012,1.0000
108,0.000206,1.0000,0.000012,1.0000
109,0.003030,0.9899,0.000012,1.0000
110,0.004550,0.9798,0.000011,1.0000
111,0.002297,1.0000,0.000011,1.0000
112,0.007410,0.9798,0.000011,1.0000
113,0.001139,1.0000,0.000011,1.0000
114,0.001155,1.0000,0.000011,1.0000
115,0.000917,1.0000,0.000011,1.0000
116,0.004392,0.9899,0.000011,1.0000
117,0.002950,0.9899,0.000044,1.0000
118,0.000236,1.0000,0.000086,1.0000
119,0.002458,0.9899,0.000046,1.0000
120,0.009177,0.9596,0.000015,1.0000
121,0.006225,0.9798,0.000011,1.0000
122,0.002907,0.9899,0.000010,1.0000
123,0.003943,0.9798,0.000010,1.0000
124,0.004098,0.9697,0.000009,1.0000
125,0.002549,0.9899,0.000008,1.0000
126,0.004400,0.9798,0.000008,1.0000
127,0.004095,0.9899,0.000008,1.0000
128,0.004746,0.9798,0.000008,1.0000
129,0.008793,0.9798,0.000012,1.0000
130,0.000207,1.0000,0.000013,1.0000
131,0.005846,0.9899,0.000012,1.0000
132,0.005333,0.9899,0.000010,1.0000
133,0.005816,0.9798,0.000008,1.0000
134,0.004507,0.9899,0.000013,1.0000
135,0.003305,0.9899,0.000017,1.0000
136,0.006754,0.9798,0.000011,1.0000
137,0.000214,1.0000,0.000010,1.0000
138,0.001540,0.9899,0.000009,1.0000
139,0.003714,0.9899,0.000010,1.0000
140,0.002209,0.9899,0.000010,1.0000
141,0.000236,1.0000,0.000010,1.0000
142,0.003028,0.9798,0.000010,1.0000
143,0.002018,0.9899,0.000009,1.0000
144,0.000367,1.0000,0.000008,1.0000
145,0.002857,0.9899,0.000008,1.0000
146,0.001636,0.9899,0.000008,1.0000
147,0.001729,0.9899,0.000008,1.0000
148,0.004603,0.9899,0.000008,1.0000
149,0.001550,0.9899,0.000007,1.0000
150,0.004594,0.9899,0.000007,1.0000
1,0.125610,0.4949,0.105341,0.6800
2,0.106745,0.6667,0.086185,0.7600
3,0.080722,0.7980,0.075570,0.7600
4,0.079231,0.7677,0.083288,0.8000
5,0.085349,0.6970,0.080975,0.7600
6,0.079871,0.7576,0.059505,0.8400
7,0.071706,0.7980,0.047017,0.9200
8,0.062768,0.7980,0.044033,0.8400
9,0.058997,0.8182,0.049640,0.8800
10,0.048332,0.8788,0.045662,0.8400
11,0.045149,0.8485,0.049867,0.8400
12,0.043914,0.8182,0.029180,0.9200
13,0.027381,0.9495,0.015193,1.0000
14,0.024855,0.9495,0.013470,1.0000
15,0.014282,0.9596,0.010576,1.0000
16,0.021368,0.9495,0.016023,1.0000
17,0.009332,0.9899,0.021597,0.9200
18,0.012197,0.9798,0.018898,0.9200
19,0.005068,1.0000,0.010782,1.0000
20,0.007954,0.9697,0.008990,1.0000
21,0.007526,0.9899,0.007718,1.0000
22,0.009222,0.9798,0.007410,1.0000
23,0.008185,0.9798,0.005477,1.0000
24,0.006531,0.9798,0.002666,1.0000
25,0.001380,1.0000,0.002033,1.0000
26,0.003695,0.9899,0.001802,1.0000
27,0.007133,0.9697,0.001873,1.0000
28,0.002397,1.0000,0.012066,0.9600
29,0.008274,0.9798,0.021155,0.9200
30,0.006401,0.9899,0.009682,1.0000
31,0.003301,1.0000,0.003817,1.0000
32,0.006110,0.9899,0.001949,1.0000
33,0.003715,1.0000,0.001014,1.0000
34,0.004922,0.9899,0.000544,1.0000
35,0.004369,0.9798,0.000400,1.0000
36,0.000908,1.0000,0.000383,1.0000
37,0.001954,1.0000,0.000449,1.0000
38,0.006354,0.9899,0.000455,1.0000
39,0.004745,0.9899,0.000421,1.0000
40,0.010420,0.9596,0.000239,1.0000
41,0.005676,0.9899,0.000290,1.0000
42,0.003245,0.9899,0.000414,1.0000
43,0.004946,0.9798,0.000250,1.0000
44,0.002525,1.0000,0.000215,1.0000
45,0.001746,1.0000,0.000224,1.0000
46,0.003931,0.9899,0.000211,1.0000
47,0.003725,0.9899,0.000262,1.0000
48,0.004782,0.9798,0.000410,1.0000
49,0.001262,1.0000,0.000382,1.0000
50,0.004369,0.9899,0.000367,1.0000
51,0.008819,0.9697,0.000221,1.0000
52,0.000605,1.0000,0.000188,1.0000
53,0.001874,0.9899,0.000139,1.0000
54,0.002714,0.9899,0.000132,1.0000
55,0.003106,1.0000,0.000137,1.0000
56,0.007525,0.9798,0.000179,1.0000
57,0.004013,0.9899,0.000209,1.0000
58,0.002291,1.0000,0.000218,1.0000
59,0.003859,0.9798,0.000163,1.0000
60,0.000242,1.0000,0.000165,1.0000
61,0.001733,0.9899,0.000165,1.0000
62,0.000397,1.0000,0.000197,1.0000
63,0.003206,0.9899,0.000225,1.0000
64,0.002337,0.9899,0.000349,1.0000
65,0.004652,0.9798,0.000880,1.0000
66,0.001365,1.0000,0.000650,1.0000
67,0.008789,0.9697,0.000339,1.0000
68,0.000411,1.0000,0.000245,1.0000
69,0.003433,1.0000,0.000208,1.0000
70,0.002437,1.0000,0.000209,1.0000
71,0.003475,0.9798,0.000137,1.0000
72,0.004005,0.9798,0.000098,1.0000
73,0.002665,0.9899,0.000073,1.0000
74,0.002503,0.9899,0.000060,1.0000
75,0.002300,1.0000,0.000060,1.0000
76,0.002580,0.9899,0.000068,1.0000
77,0.000499,1.0000,0.000067,1.0000
78,0.001690,1.0000,0.000058,1.0000
79,0.006108,0.9697,0.000064,1.0000
80,0.000293,1.0000,0.000079,1.0000
81,0.003627,0.9798,0.000085,1.0000
82,0.001911,0.9899,0.000066,1.0000
83,0.003810,0.9899,0.000051,1.0000
84,0.001683,0.9899,0.000048,1.0000
85,0.000256,1.0000,0.000049,1.0000
86,0.000154,1.0000,0.000049,1.0000
87,0.004964,0.9697,0.000031,1.0000
88,0.001354,1.0000,0.000025,1.0000
89,0.002118,0.9899,0.000029,1.0000
90,0.000317,1.0000,0.000040,1.0000
91,0.000795,1.0000,0.000046,1.0000
92,0.001573,0.9899,0.000053,1.0000
93,0.001924,0.9899,0.000034,1.0000
94,0.009040,0.9697,0.000035,1.0000
95,0.002619,0.9899,0.000034,1.0000
96,0.001003,1.0000,0.000055,1.0000
97,0.004994,0.9798,0.000048,1.0000
98,0.001891,0.9899,0.000037,1.0000
99,0.003962,0.9798,0.000036,1.0000
100,0.008386,0.9697,0.000018,1.0000
101,0.001943,0.9899,0.000017,1.0000
102,0.001766,1.0000,0.000020,1.0000
103,0.001287,1.0000,0.000020,1.0000
104,0.002488,0.9899,0.000018,1.0000
105,0.002043,1.0000,0.000014,1.0000
106,0.001819,0.9899,0.000013,1.0000
107,0.001265,1.0000,0.000012,1.0000
108,0.000206,1.0000,0.000012,1.0000
109,0.003030,0.9899,0.000012,1.0000
110,0.004550,0.9798,0.000011,1.0000
111,0.002297,1.0000,0.000011,1.0000
112,0.007410,0.9798,0.000011,1.0000
113,0.001139,1.0000,0.000011,1.0000
114,0.001155,1.0000,0.000011,1.0000
115,0.000917,1.0000,0.000011,1.0000
116,0.004392,0.9899,0.000011,1.0000
117,0.002950,0.9899,0.000044,1.0000
118,0.000236,1.0000,0.000086,1.0000
119,0.002458,0.9899,0.000046,1.0000
120,0.009177,0.9596,0.000015,1.0000
121,0.006225,0.9798,0.000011,1.0000
122,0.002907,0.9899,0.000010,1.0000
123,0.003943,0.9798,0.000010,1.0000
124,0.004098,0.9697,0.000009,1.0000
125,0.002549,0.9899,0.000008,1.0000
126,0.004400,0.9798,0.000008,1.0000
127,0.004095,0.9899,0.000008,1.0000
128,0.004746,0.9798,0.000008,1.0000
129,0.008793,0.9798,0.000012,1.0000
130,0.000207,1.0000,0.000013,1.0000
131,0.005846,0.9899,0.000012,1.0000
132,0.005333,0.9899,0.000010,1.0000
133,0.005816,0.9798,0.000008,1.0000
134,0.004507,0.9899,0.000013,1.0000
135,0.003305,0.9899,0.000017,1.0000
136,0.006754,0.9798,0.000011,1.0000
137,0.000214,1.0000,0.000010,1.0000
138,0.001540,0.9899,0.000009,1.0000
139,0.003714,0.9899,0.000010,1.0000
140,0.002209,0.9899,0.000010,1.0000
141,0.000236,1.0000,0.000010,1.0000
142,0.003028,0.9798,0.000010,1.0000
143,0.002018,0.9899,0.000009,1.0000
144,0.000367,1.0000,0.000008,1.0000
145,0.002857,0.9899,0.000008,1.0000
146,0.001636,0.9899,0.000008,1.0000
147,0.001729,0.9899,0.000008,1.0000
148,0.004603,0.9899,0.000008,1.0000
149,0.001550,0.9899,0.000007,1.0000
150,0.004594,0.9899,0.000007,1.0000
1,0.125610,0.4949,0.105341,0.6800
2,0.106745,0.6667,0.086185,0.7600
3,0.080722,0.7980,0.075570,0.7600
4,0.079231,0.7677,0.083288,0.8000
5,0.085349,0.6970,0.080975,0.7600
6,0.079871,0.7576,0.059505,0.8400
7,0.071706,0.7980,0.047017,0.9200
8,0.062768,0.7980,0.044033,0.8400
9,0.058997,0.8182,0.049640,0.8800
10,0.048332,0.8788,0.045662,0.8400
11,0.045149,0.8485,0.049867,0.8400
12,0.043914,0.8182,0.029180,0.9200
13,0.027381,0.9495,0.015193,1.0000
14,0.024855,0.9495,0.013470,1.0000
15,0.014282,0.9596,0.010576,1.0000
16,0.021368,0.9495,0.016023,1.0000
17,0.009332,0.9899,0.021597,0.9200
18,0.012197,0.9798,0.018898,0.9200
19,0.005068,1.0000,0.010782,1.0000
20,0.007954,0.9697,0.008990,1.0000
21,0.007526,0.9899,0.007718,1.0000
22,0.009222,0.9798,0.007410,1.0000
23,0.008185,0.9798,0.005477,1.0000
24,0.006531,0.9798,0.002666,1.0000
25,0.001380,1.0000,0.002033,1.0000
26,0.003695,0.9899,0.001802,1.0000
27,0.007133,0.9697,0.001873,1.0000
28,0.002397,1.0000,0.012066,0.9600
29,0.008274,0.9798,0.021157,0.9200
30,0.006401,0.9899,0.009682,1.0000
31,0.003301,1.0000,0.003817,1.0000
32,0.006111,0.9899,0.001949,1.0000
33,0.003966,1.0000,0.001016,1.0000
34,0.004916,0.9899,0.000548,1.0000
35,0.004380,0.9798,0.000402,1.0000
36,0.000854,1.0000,0.000385,1.0000
37,0.001947,1.0000,0.000452,1.0000
38,0.006358,0.9899,0.000458,1.0000
39,0.004742,0.9899,0.000422,1.0000
40,0.010424,0.9596,0.000239,1.0000
41,0.005674,0.9899,0.000289,1.0000
42,0.003250,0.9899,0.000413,1.0000
43,0.004947,0.9798,0.000251,1.0000
44,0.002524,1.0000,0.000218,1.0000
45,0.001745,1.0000,0.000228,1.0000
46,0.003930,0.9899,0.000215,1.0000
47,0.003726,0.9899,0.000269,1.0000
48,0.004789,0.9798,0.000422,1.0000
49,0.001263,1.0000,0.000391,1.0000
50,0.004376,0.9899,0.000378,1.0000
51,0.008839,0.9697,0.000233,1.0000
52,0.000607,1.0000,0.000198,1.0000
53,0.001868,0.9899,0.000147,1.0000
54,0.002734,0.9899,0.000137,1.0000
55,0.003112,1.0000,0.000142,1.0000
56,0.007525,0.9798,0.000186,1.0000
57,0.004016,0.9899,0.000219,1.0000
58,0.002295,1.0000,0.000228,1.0000
59,0.003863,0.9798,0.000170,1.0000
60,0.000242,1.0000,0.000173,1.0000
61,0.001733,0.9899,0.000172,1.0000
62,0.000393,1.0000,0.000206,1.0000
63,0.003206,0.9899,0.000235,1.0000
64,0.002343,0.9899,0.000361,1.0000
65,0.004660,0.9798,0.000929,1.0000
66,0.001372,1.0000,0.000678,1.0000
67,0.008820,0.9697,0.000353,1.0000
68,0.000405,1.0000,0.000254,1.0000
69,0.003449,1.0000,0.000213,1.0000
70,0.002452,1.0000,0.000215,1.0000
71,0.003470,0.9798,0.000142,1.0000
72,0.004004,0.9798,0.000102,1.0000
73,0.002656,0.9899,0.000078,1.0000
74,0.002504,1.0000,0.000065,1.0000
75,0.002301,1.0000,0.000064,1.0000
76,0.002588,0.9899,0.000072,1.0000
77,0.000504,1.0000,0.000072,1.0000
78,0.001693,1.0000,0.000061,1.0000
79,0.006055,0.9697,0.000070,1.0000
80,0.000293,1.0000,0.000087,1.0000
81,0.003643,0.9798,0.000093,1.0000
82,0.001997,0.9899,0.000071,1.0000
83,0.003843,0.9899,0.000053,1.0000
84,0.001691,0.9899,0.000050,1.0000
85,0.000257,1.0000,0.000051,1.0000
86,0.000154,1.0000,0.000051,1.0000
87,0.005020,0.9697,0.000032,1.0000
88,0.001357,1.0000,0.000026,1.0000
89,0.002078,0.9899,0.000030,1.0000
90,0.000321,1.0000,0.000041,1.0000
91,0.000790,1.0000,0.000048,1.0000
92,0.001590,0.9899,0.000055,1.0000
93,0.001937,0.9899,0.000035,1.0000
94,0.009044,0.9697,0.000036,1.0000
95,0.002641,0.9899,0.000034,1.0000
96,0.001017,1.0000,0.000058,1.0000
97,0.005016,0.9798,0.000049,1.0000
98,0.001892,0.9899,0.000037,1.0000
99,0.003951,0.9798,0.000037,1.0000
100,0.008327,0.9697,0.000019,1.0000
101,0.001953,0.9899,0.000018,1.0000
102,0.001759,1.0000,0.000022,1.0000
103,0.001278,1.0000,0.000022,1.0000
104,0.002505,0.9899,0.000020,1.0000
105,0.002050,1.0000,0.000015,1.0000
106,0.001827,0.9899,0.000013,1.0000
107,0.001258,1.0000,0.000013,1.0000
108,0.000208,1.0000,0.000013,1.0000
109,0.003038,0.9899,0.000013,1.0000
110,0.004549,0.9798,0.000012,1.0000
111,0.002279,1.0000,0.000012,1.0000
112,0.007408,0.9798,0.000012,1.0000
113,0.001146,1.0000,0.000012,1.0000
114,0.001169,1.0000,0.000012,1.0000
115,0.000927,1.0000,0.000012,1.0000
116,0.004357,0.9899,0.000011,1.0000
117,0.002951,0.9899,0.000051,1.0000
118,0.000348,1.0000,0.000094,1.0000
119,0.002485,0.9899,0.000045,1.0000
120,0.009200,0.9596,0.000015,1.0000
121,0.006277,0.9798,0.000011,1.0000
122,0.002920,0.9899,0.000010,1.0000
123,0.003899,0.9798,0.000011,1.0000
124,0.004008,0.9798,0.000010,1.0000
125,0.002474,0.9899,0.000009,1.0000
